,Unnamed: 0_x,Neighbourhood,Median_Income,Average_Income,Unnamed: 0_y,Hood_ID,Number of Red Lights,Speeding,Income Group
0,0,Agincourt North,60162.0,73512.0,29,129,2,21,50-75K
1,1,Agincourt South-Malvern West,59013.0,73156.0,72,128,1,23,50-75K
2,4,Banbury-Don Mills,70039.0,115944.0,10,42,3,30,100-125K
3,5,Bathurst Manor,56563.0,76823.0,19,34,2,18,75-100K
4,6,Bay Street Corridor,50363.0,84580.0,5,76,5,22,75-100K
5,7,Bayview Village,67186.0,96809.0,38,52,1,8,75-100K
6,8,Bayview Woods-Steeles,70294.0,99835.0,65,49,1,6,75-100K
7,11,Bendale,55786.0,66104.0,52,127,1,27,50-75K
8,12,Birchcliffe-Cliffside,64701.0,90967.0,35,122,1,20,75-100K
9,13,Black Creek,41878.0,51384.0,69,24,1,15,50-75K
10,18,Brookhaven-Amesbury,47040.0,59896.0,16,30,2,7,50-75K
11,21,Casa Loma,78152.0,175756.0,23,96,2,3,175-200K
12,22,Centennial Scarborough,102864.0,119301.0,34,133,1,10,100-125K
13,23,Church-Yonge Corridor,47195.0,65545.0,45,75,1,4,50-75K
14,24,Clairlea-Birchmount,59224.0,72423.0,14,120,3,17,50-75K
15,25,Clanton Park,61094.0,92945.0,15,33,2,14,75-100K
16,26,Cliffcrest,68647.0,85355.0,76,123,1,5,75-100K
17,30,Don Valley Village,56780.0,72457.0,22,47,2,11,50-75K
18,31,Dorset Park,51724.0,62078.0,9,126,3,25,50-75K
19,32,Dovercourt-Wallace Emerson-Junction,56997.0,70393.0,18,93,2,30,50-75K
20,33,Downsview-Roding-CFB,47173.0,60018.0,7,26,4,20,50-75K
21,37,Eglinton East,46495.0,58035.0,27,138,2,24,50-75K
22,44,Forest Hill South,78269.0,226031.0,56,101,1,12,225-250K
23,45,Glenfield-Jane Heights,46475.0,57069.0,64,25,1,37,50-75K
24,46,Greenwood-Coxwell,57853.0,78089.0,53,65,1,3,75-100K
25,50,High Park-Swansea,72286.0,111391.0,39,87,1,10,100-125K
26,53,Humber Heights-Westmount,60410.0,81291.0,71,8,1,19,75-100K
27,54,Humber Summit,57786.0,68431.0,11,21,3,23,50-75K
28,58,Islington-City Centre West,66537.0,89289.0,0,14,7,45,75-100K
29,59,Junction Area,60789.0,75849.0,68,90,1,27,75-100K
30,60,Keelesdale-Eglinton West,48667.0,59972.0,74,110,1,23,50-75K
31,62,Kensington-Chinatown,40793.0,57175.0,62,78,1,18,50-75K
32,63,Kingsview Village-The Westway,55454.0,71539.0,51,6,1,3,50-75K
33,66,L'Amoreaux,53644.0,67279.0,40,117,1,20,50-75K
34,67,Lansing-Westgate,70571.0,111214.0,67,38,1,8,100-125K
35,69,Lawrence Park South,127853.0,250437.0,43,103,1,10,250K+
36,72,Long Branch,52771.0,73058.0,57,19,1,6,50-75K
37,73,Malvern,57528.0,68011.0,6,132,5,39,50-75K
38,76,Milliken,60262.0,74319.0,13,130,3,13,50-75K
39,79,Moss Park,41295.0,66080.0,8,73,4,54,50-75K
40,80,Mount Dennis,46811.0,61397.0,42,115,1,5,50-75K
41,86,Newtonbrook West,50150.0,70153.0,21,36,2,9,50-75K
42,87,Niagara,70862.0,91004.0,70,82,1,31,75-100K
43,92,O'Connor-Parkview,54491.0,72779.0,58,54,1,5,50-75K
44,94,Palmerston-Little Italy,59378.0,85549.0,47,80,1,5,75-100K
45,98,Pleasant View,65197.0,75839.0,75,46,1,8,75-100K
46,99,Princess-Rosethorn,114844.0,174858.0,59,10,1,2,150-175K
47,100,Regent Park,32172.0,49191.0,73,72,1,3,25-50K
48,102,Rockcliffe-Smythe,49695.0,61303.0,61,111,1,20,50-75K
49,105,Rouge,81553.0,96452.0,33,131,2,68,75-100K
50,109,South Parkdale,35601.0,46896.0,26,85,2,26,25-50K
51,110,South Riverdale,65076.0,83491.0,20,70,2,20,75-100K
52,111,St.Andrew-Windfields,94271.0,189629.0,60,40,1,3,175-200K
53,112,Steeles,60946.0,75305.0,1,116,6,5,75-100K
54,113,Stonegate-Queensway,78238.0,104117.0,25,16,2,8,100-125K
55,114,Tam O'Shanter-Sullivan,49720.0,65993.0,28,118,2,12,50-75K
56,116,The Beaches,85028.0,145586.0,24,63,2,6,125-150K
57,117,Thistletown-Beaumond Heights,62042.0,73512.0,30,3,2,2,50-75K
58,118,Thorncliffe Park,40795.0,51739.0,36,55,1,4,50-75K
59,122,Waterfront Communities-The Island,69107.0,89892.0,4,77,6,53,75-100K
60,123,West Hill,49713.0,63461.0,48,136,1,5,50-75K
61,124,West Humber-Clairville,66241.0,76228.0,3,1,6,99,75-100K
62,125,Westminster-Branson,45888.0,63719.0,66,35,1,13,50-75K
63,126,Weston,45119.0,57538.0,37,113,1,13,50-75K
64,128,Wexford/Maryvale,58939.0,70251.0,46,119,1,41,50-75K
65,129,Willowdale East,64362.0,84813.0,55,51,1,22,75-100K
66,131,Willowridge-Martingrove-Richview,63701.0,81035.0,32,7,2,22,75-100K
67,132,Woburn,52018.0,63651.0,2,137,6,52,50-75K
68,138,York University Heights,45534.0,55531.0,44,27,1,22,50-75K
69,139,Yorkdale-Glen Park,54093.0,72429.0,17,31,2,5,50-75K
