Neighbourhood,Speeding
Agincourt North,21
Agincourt South-Malvern West,23
Alderwood,14
Annex,15
Banbury-Don Mills,30
Bathurst Manor,18
Bay Street Corridor,22
Bayview Village,8
Bayview Woods-Steeles,6
Beechborough-Greenbrook,8
Bendale,27
Birchcliffe-Cliffside,20
Black Creek,15
Briar Hill-Belgravia,14
Bridle Path-Sunnybrook-York Mills,5
Broadview North,21
Brookhaven-Amesbury,7
Cabbagetown-South St.James Town,20
Casa Loma,3
Centennial Scarborough,10
Church-Yonge Corridor,4
Clairlea-Birchmount,17
Clanton Park,14
Cliffcrest,5
Corso Italia-Davenport,4
Danforth,6
Don Valley Village,11
Dorset Park,25
Dovercourt-Wallace Emerson-Junction,30
Downsview-Roding-CFB,20
Dufferin Grove,19
East End-Danforth,13
Edenbridge-Humber Valley,6
Eglinton East,24
Elms-Old Rexdale,5
Eringate-Centennial-West Deane,9
Etobicoke West Mall,1
Flemingdon Park,16
Forest Hill North,5
Forest Hill South,12
Glenfield-Jane Heights,37
Greenwood-Coxwell,3
Guildwood,7
Henry Farm,9
High Park-Swansea,10
Hillcrest Village,16
Humber Heights-Westmount,19
Humber Summit,23
Humbermede,8
Humewood-Cedarvale,8
Islington-City Centre West,45
Junction Area,27
Keelesdale-Eglinton West,23
Kennedy Park,11
Kensington-Chinatown,18
Kingsview Village-The Westway,3
L'Amoreaux,20
Lansing-Westgate,8
Lawrence Park South,10
Leaside-Bennington,15
Little Portugal,10
Long Branch,6
Malvern,39
Milliken,13
Mimico,61
Morningside,3
Moss Park,54
Mount Dennis,5
Mount Olive-Silverstone-Jamestown,38
Mount Pleasant East,7
Mount Pleasant West,13
New Toronto,7
Newtonbrook East,14
Newtonbrook West,9
Niagara,31
North Riverdale,22
North St.James Town,7
O'Connor-Parkview,5
Oakwood Village,3
Old East York,35
Palmerston-Little Italy,5
Parkwoods-Donalda,5
Pelmo Park-Humberlea,16
Playter Estates-Danforth,5
Pleasant View,8
Princess-Rosethorn,2
Regent Park,3
Rexdale-Kipling,7
Rockcliffe-Smythe,20
Rosedale-Moore Park,29
Rouge,68
Runnymede-Bloor West Village,2
Scarborough Village,11
South Parkdale,26
South Riverdale,20
St.Andrew-Windfields,3
Steeles,5
Stonegate-Queensway,8
Tam O'Shanter-Sullivan,12
Taylor-Massey,4
The Beaches,6
Thistletown-Beaumond Heights,2
Thorncliffe Park,4
Trinity-Bellwoods,13
University,9
Victoria Village,56
Waterfront Communities-The Island,53
West Hill,5
West Humber-Clairville,99
Westminster-Branson,13
Weston,13
Weston-Pellam Park,10
Wexford/Maryvale,41
Willowdale East,22
Willowridge-Martingrove-Richview,22
Woburn,52
Woodbine Corridor,11
Woodbine-Lumsden,10
Wychwood,9
Yonge-Eglinton,6
Yonge-St.Clair,3
York University Heights,22
Yorkdale-Glen Park,5
