ID,Lat,Long
75921-104040,43.086574,-79.05935600000001
3997-146205,43.077276,-79.082792
75525-35359,43.078905999999996,-79.081879
75633-86381,43.079703,-79.082204
75790-96396,43.082189,-79.08246899999999
75826-96571,43.083867,-79.079999
15793-158605,43.082173,-79.082901
57744-291097,43.082474,-79.083214
75716-95583,43.085072,-79.08002900000001
75806-68443,43.090825,-79.072889
75571-68502,43.091868,-79.07147900000001
54219-285743,43.089883,-79.07937199999999
75798-95900,43.092149,-79.07625300000001
52002-280428,43.08982,-79.09723199999999
20296-104210,43.070423,-79.128294
58015-290562,43.088752,-79.136208
18962-181665,43.114188,-79.12350699999999
22091-205050,43.155656,-79.168483
19841-199684,43.137306,-79.215744
48418-262967,43.135123,-79.224231
55947-283787,43.22704,-79.116314
4556-94105,43.154894,-79.268019
4319-1832,43.176281,-79.243769
15559-158304,43.256436,-79.074568
4962-132004,43.190164,-79.227166
27142-142364,43.183917,-79.251042
17411-171644,43.174149,-79.274883
4279-865,43.226753,-79.95421
49241-265204,43.245098,-79.94896700000001
17203-171524,43.257553,-79.919376
15722-155290,43.266189000000004,-79.955937
4323-1693,43.206677,-79.89160799999999
4915-122111,43.256156,-79.885456
49532-269564,43.216576,-79.862585
21992-186228,43.257903999999996,-79.871874
49533-269384,43.260344,-79.873778
53974-285686,43.255633,-79.86634699999999
4979-133665,43.318477,-79.91162800000001
58375-292398,43.25077,-79.812754
4980-138085,43.195545,-79.810626
4494-93178,43.325919,-79.819863
79269-99848,43.329457,-79.81961700000001
56151-289063,43.224249,-79.74900600000001
4511-93329,43.344356,-79.82734599999999
4709-103125,43.327628000000004,-79.80044699999999
4607-98090,43.219535,-79.725717
55381-289197,43.347309,-79.79526
54050-284127,43.216196999999994,-79.640722
23284-222864,43.204033,-79.59676
50472-265924,43.880028,-79.02498299999999
49715-265165,43.879364,-79.026689
4304-853,43.863116999999995,-79.021326
4756-104231,43.507059000000005,-79.83773000000001
29167-249436,43.449843,-79.76350699999999
52367-281585,43.464233,-79.745086
4531-94623,43.449649,-79.75904
4757-104792,43.428933,-79.765287
4678-100978,43.405495,-79.80809599999999
19770-183025,43.393805,-79.823728
16499-170404,43.390941,-79.822296
58365-290600,43.392407,-79.793341
18433-182389,43.391088,-79.788336
73863-106113,43.39798,-79.747127
4675-100793,43.37332,-79.761117
16467-157224,43.368238,-79.75421
50088-272604,43.358845,-79.781345
55133-288878,43.702434999999994,-79.829202
27008-241205,43.679649,-79.842424
19572-200494,43.681776,-79.814992
4344-1729,43.728716999999996,-79.76249200000001
4343-2067,43.706131,-79.783209
49643-269865,43.630184,-79.87618
48145-261615,43.693732000000004,-79.75211
15121-153346,43.686264,-79.759631
23274-210524,43.655803000000006,-79.767868
52984-283789,43.575022,-79.829313
4872-106562,43.598285,-79.78361600000001
4014-138344,43.540361,-79.871586
16144-164684,43.609677000000005,-79.75076
16903-173366,43.537141999999996,-79.872086
4584-96820,43.523159,-79.899373
4912-108636,43.539157,-79.85667600000001
4833-107475,43.527264,-79.866158
58361-292508,43.51377,-79.882315
12125-152237,43.892084000000004,-79.44208499999999
55346-288947,43.967372,-79.26435500000001
4905-110264,43.896298,-79.40395
55422-289291,43.966525,-79.264452
4982-105180,43.862194,-79.485136
56639-290530,43.945968,-79.970764
17843-173859,43.858686,-79.709962
54361-279904,43.93249,-79.510316
58132-289531,43.947827000000004,-79.45487800000001
4850-104701,43.91276,-79.447289
29443-253504,43.898418,-79.443996
4860-106552,43.85879,-79.03786600000001
57286-290788,43.829078,-79.088098
4414-20599,43.836648,-79.08992099999999
16709-161186,43.797471,-79.14880500000001
52586-280629,43.743753000000005,-79.216334
4777-104186,43.770374,-79.186485
4265-1032,43.86843,-79.312055
19865-177964,43.868213,-79.287747
54228-286471,43.838587,-79.430278
4965-126344,43.885077,-79.37279000000001
4927-122112,43.873977000000004,-79.26074200000001
48986-266124,43.853253,-79.43599
55463-289303,43.855083,-79.435233
4951-128928,43.866332,-79.229085
73966-138016,43.868394,-79.22963100000001
6189-149865,43.847263,-79.460603
4580-96128,43.822601,-79.325902
4874-115910,43.816306,-79.293317
54931-288675,43.776324,-79.259292
4318-249544,43.783774,-79.253314
4252-786,43.849329,-79.351937
75972-106123,43.845465999999995,-79.380942
73735-106117,43.849784,-79.355144
52144-280749,43.850566,-79.35669200000001
4572-9633,43.84385,-79.408041
55389-286621,43.844056,-79.411313
4645-99110,43.817106,-79.4243
23280-204964,43.832325,-79.40508100000001
4609-97961,43.822606,-79.35059100000001
5161-135184,43.769725,-79.374317
4863-286832,43.778029,-79.343307
49141-266125,43.769076,-79.386685
4469-87801,43.509066,-79.631476
17341-179604,43.526680999999996,-79.650622
15841-164465,43.525734,-79.685654
4278-885,43.518295,-79.68719300000001
4290-1226,43.51579,-79.69079
57459-290857,43.49418,-79.67967800000001
12467-138345,43.554612,-79.712064
51922-280104,43.558099,-79.71211600000001
55390-286738,43.555028,-79.714545
4816-104227,43.497612,-79.707513
4716-103129,43.483057,-79.696175
4635-99050,43.580256,-79.711998
20683-199288,43.460341,-79.674737
4573-96127,43.457571,-79.67862
51733-279227,43.461483,-79.686989
20684-195385,43.488398,-79.718848
4430-18659,43.487401,-79.718246
16201-140064,43.559777000000004,-79.733801
4229-255943,43.446290999999995,-79.66787
17342-166924,43.438198,-79.67571600000001
4258-286587,43.450891999999996,-79.70291
4384-253006,43.754076,-79.35174599999999
20682-200387,43.75309,-79.35906
4804-106564,43.772211999999996,-79.321125
47181-251744,43.768327,-79.271867
4350-2078,43.77247,-79.283023
75397-104159,43.768926,-79.36326700000001
49964-251783,43.708085,-79.249524
4803-97529,43.726914,-79.293247
24209-236145,43.752471,-79.276377
55957-289847,43.708146,-79.342249
4095-282005,43.735917,-79.34428100000001
4667-100881,43.710679999999996,-79.360969
16982-173365,43.705628000000004,-79.361623
16867-167024,43.713667,-79.364827
16896-163444,43.705934,-79.389431
4276-936,43.705186,-79.374763
4209-527,43.698458,-79.396395
4929-125664,43.705541,-79.39786
4508-93343,43.707613,-79.398682
4427-55359,43.706905,-79.39686800000001
60047-292777,43.707252000000004,-79.39505
4742-104613,43.711017,-79.399022
4524-93176,43.640011,-79.38098199999999
22866-225584,43.670039,-79.391614
15631-158804,43.669022,-79.39762900000001
4386-23787,43.678015,-79.390238
4282-879,43.6861,-79.392933
27009-242505,43.686543,-79.39986
4296-250015,43.688515,-79.394093
4225-767,43.657751,-79.387508
56473-289530,43.654441999999996,-79.38775799999999
19355-197904,43.655938,-79.38851700000001
4518-93219,43.658317,-79.389438
21792-214225,43.659559,-79.389792
19664-198964,43.64971,-79.385615
4869-117170,43.646833,-79.384171
20991-207444,43.66805,-79.388501
4507-289538,43.669289,-79.388637
3896-150465,43.645042,-79.38346
4402-2830,43.670506,-79.389778
60071-292724,43.660373,-79.32821700000001
4817-251106,43.65958,-79.32830899999999
4581-96731,43.668414,-79.30794399999999
4718-100794,43.660675,-79.34238
4227-271584,43.669721,-79.302125
25624-238965,43.682472,-79.32709200000001
4598-265764,43.680116,-79.339567
4205-530,43.678794,-79.34630899999999
23247-228144,43.676438,-79.35838199999999
4719-101643,43.68088,-79.284976
47561-255989,43.651407,-79.364329
17181-170464,43.695983,-79.328918
47992-257165,43.687708,-79.28804699999999
28762-250887,43.651213,-79.367921
54363-280205,43.644383000000005,-79.36815
4998-290884,43.651802,-79.37254399999999
56315-278012,43.657296,-79.374377
47988-253946,43.644697,-79.369731
4220-765,43.648777,-79.372519
27133-154144,43.659804,-79.378759
4270-186347,43.652433,-79.378662
4208-524,43.664982,-79.380505
4497-90784,43.65643,-79.380453
4300-884,43.649245,-79.378134
4361-1347,43.654015,-79.380185
21589-203526,43.642362,-79.374491
4455-84621,43.653249,-79.380409
4448-67903,43.671343,-79.380697
20622-203445,43.649644,-79.379636
4510-93341,43.653657,-79.38119300000001
58364-290635,43.660837,-79.383063
4246-899,43.661483000000004,-79.383323
8178-146684,43.655931,-79.38273000000001
4830-108885,43.645978,-79.379993
4251-768,43.665062,-79.384414
19550-195624,43.649276,-79.38167800000001
19474-181945,43.647231,-79.380913
49897-270229,43.657398,-79.38460699999999
60067-292776,43.699453000000005,-79.360309
7160-149825,43.670863,-79.38449200000001
4217-790,43.6494,-79.38302
17771-181624,43.646746,-79.382091
3845-145984,43.655515,-79.385423
15689-162706,43.662488,-79.386277
6028-138146,43.643645,-79.380661
4766-105713,43.655491,-79.38555799999999
23689-232644,43.645042,-79.381912
55764-289561,43.669866999999996,-79.386354
27130-106119,43.642475,-79.380905
4460-67901,43.670691999999995,-79.386329
3999-144325,43.646004,-79.385645
4801-106847,43.650734,-79.38753
60043-292778,43.546624,-79.593517
4438-75461,43.665413,-79.409947
22078-206624,43.64011,-79.393277
4495-93179,43.648073,-79.396361
22368-219071,43.637771,-79.39228299999999
4802-104798,43.646235,-79.39206
22438-212524,43.647524,-79.392651
27007-240848,43.64233,-79.38995
21891-207467,43.64423,-79.389123
4459-85822,43.645413,-79.389516
4232-772,43.650006,-79.39099300000001
4636-255353,43.643864,-79.401814
22839-224105,43.636941,-79.400064
48200-252825,43.634111,-79.41178199999999
52585-280626,43.642398,-79.42791700000001
20837-289009,43.639005,-79.42742
4841-109906,43.639815000000006,-79.419596
16997-177184,43.644186,-79.41895699999999
27933-220484,43.639472,-79.41706500000001
4646-98483,43.641282000000004,-79.414767
25873-241154,43.591381,-79.575052
20834-203586,43.594233,-79.533455
20593-206884,43.607575,-79.653186
58155-290445,43.592271000000004,-79.635265
4478-89926,43.59305,-79.642162
29141-252625,43.591682,-79.643364
56428-290339,43.592938000000004,-79.64574499999999
4303-1148,43.594479,-79.648065
25595-241230,43.622389,-79.481608
53975-286187,43.571948,-79.60895500000001
4408-6346,43.570281,-79.602784
20687-181584,43.586508,-79.647098
56976-290976,43.613304,-79.69640799999999
4387-23529,43.549879,-79.58726999999999
4906-124044,43.844945,-79.47059399999999
4395-24448,43.794108,-79.44559100000001
50942-276496,43.80619,-79.45212099999999
4743-103298,43.816819,-79.45213299999999
4703-102543,43.768289,-79.412951
4717-102447,43.779884,-79.41622
55370-288978,43.761646,-79.410508
4711-103342,43.757999,-79.409775
24222-232704,43.744613,-79.406552
73734-106121,43.850718,-79.534171
26281-243832,43.79668,-79.419235
4254-586,43.729817,-79.40364699999999
4206-529,43.700719,-79.42745500000001
4720-103563,43.653465000000004,-79.451594
4207-525,43.728702,-79.418433
4798-104189,43.683163,-79.418527
54396-286182,43.722638,-79.41532099999999
56042-289933,43.660284999999995,-79.43404699999999
4226-771,43.703934999999994,-79.411665
60051-292781,43.683877,-79.415186
4210-531,43.689263000000004,-79.41296700000001
15409-154170,43.671537,-79.421386
60044-292769,43.671847,-79.420916
25829-242624,43.656002,-79.435365
23090-212865,43.627666999999995,-79.489193
4637-99042,43.653459999999995,-79.42643699999999
4241-770,43.715586,-79.40045
17627-180704,43.724975,-79.402292
20681-199287,43.815288,-79.607485
23418-229684,43.826263,-79.55645
4612-220385,43.825874,-79.538664
24008-210505,43.825506,-79.535387
4525-93920,43.78603,-79.47439200000001
4732-104193,43.829296,-79.536886
4791-104690,43.844415999999995,-79.560074
4585-95347,43.755604,-79.44039000000001
54360-286336,43.844229999999996,-79.535228
15977-156245,43.734091,-79.433208
55183-289008,43.835922,-79.508674
27312-247111,43.685485,-79.619006
24039-235146,43.68139,-79.610395
25370-240804,43.734982,-79.601623
59054-293162,43.700204,-79.636599
75688-84983,43.679567999999996,-79.616736
53982-284884,43.674408,-79.555926
23244-228105,43.696414000000004,-79.533433
54922-288678,43.653605999999996,-79.600226
56997-290461,43.654208000000004,-79.646893
55763-289630,43.641464,-79.576601
60070-223747,43.644434000000004,-79.55944000000001
25874-242409,43.635577000000005,-79.596459
4657-100002,43.636896,-79.621065
52762-280748,43.659819,-79.513993
29915-255605,43.635141,-79.563314
56095-289985,43.76475,-79.660376
57822-290732,43.783378000000006,-79.575655
4608-98091,43.639623,-79.537513
17624-176765,43.638419,-79.537925
27978-248317,43.645451,-79.522032
58378-292399,43.630652000000005,-79.555228
60056-294115,43.665708,-79.49580999999999
23314-210525,43.737631,-79.701002
23283-228465,43.627519,-79.629323
4613-98127,43.64658,-79.51404000000001
4938-124144,43.788607,-79.625929
4477-265766,43.667412,-79.489253
4291-1393,43.648346999999994,-79.507677
4313-1748,43.78869,-79.553348
50289-273864,43.784321999999996,-79.658811
53844-284904,43.715462,-79.722025
22838-224385,43.698454,-79.463205
19818-186625,43.612057,-79.578345
29175-252813,43.614905,-79.557372
18196-186624,43.677263,-79.721439
4371-256584,43.613357,-79.557996
13035-154156,43.665399,-79.47189200000001
17220-168432,43.612887,-79.55569200000001
23275-225064,43.633567,-79.687147
4829-109065,43.626353,-79.680198
4233-544,43.651357,-79.475875
17922-173426,43.725315,-79.454165
25747-242317,43.624686,-79.508253
19842-199404,43.616208,-79.525467
21883-215124,43.766139,-79.47633499999999
4509-93344,43.726773,-79.45183
16078-166544,43.757568,-79.465829
49300-263769,43.725807,-79.450222
47666-232784,43.733168,-79.452208
79267-99847,43.659944,-79.725689
